label,image,split,no_target,target
no_target,no_target/pic_316 (1).jpg,train,1,0
no_target,no_target/pic_208.jpg,train,1,0
no_target,no_target/pic_182.jpg,train,1,0
no_target,no_target/ea34b80920f7093ed1584d05fb1d4e9fe777ead218ac104497f5c97faee8b1b8_640.jpg,train,1,0
no_target,no_target/ea36b60e20fd003ed1584d05fb1d4e9fe777ead218ac104497f5c978a6e8b0b1_640.jpg,train,1,0
no_target,no_target/pic_233 (1).jpg,train,1,0
no_target,no_target/pic_104 (1).jpg,train,1,0
no_target,no_target/pic_305.jpg,train,1,0
no_target,no_target/pic_283.jpg,train,1,0
no_target,no_target/empty-room-with-panorama-window-and-wooden-floor-3d-rendering-UWF000917.jpg,train,1,0
no_target,no_target/fall-clean-up-1.jpg,train,1,0
no_target,no_target/pic_029 (1).jpg,train,1,0
no_target,no_target/OIP-4ioGYNaH6joXUHrZ_F-s_gAAAA.jpeg,train,1,0
no_target,no_target/9btpk6di51k61_1.jpg,train,1,0
no_target,no_target/pic_163 (1).jpg,train,1,0
no_target,no_target/pic_216 (1).jpg,train,1,0
no_target,no_target/pic_270 (1).jpg,train,1,0
no_target,no_target/pic_389.jpg,train,1,0
no_target,no_target/pic_188 (1).jpg,train,1,0
no_target,no_target/OIP-3yBOuAku7LjE31_m_t0P4QHaHS.jpeg,train,1,0
no_target,no_target/pic_194 (1).jpg,train,1,0
no_target,no_target/OIP-0-wd8D97zhdVNzIqoQFoVQHaEK.jpeg,train,1,0
no_target,no_target/pic_351 (1).jpg,train,1,0
no_target,no_target/OIP-3FFrQVgbuAvG5OnsGrKtiAHaI4.jpeg,train,1,0
no_target,no_target/pic_108 (1).jpg,train,1,0
no_target,no_target/186.jpeg,train,1,0
no_target,no_target/http___cdn.cnn.com_cnnnext_dam_assets_200715145605-window-swap-website-quarantine-trnd.jpg,train,1,0
no_target,no_target/20191022-deer.jpg,train,1,0
no_target,no_target/9glyu7o2j6f61_1.jpg,train,1,0
no_target,no_target/pic_101 (1).jpg,train,1,0
no_target,no_target/pic_241.jpg,train,1,0
no_target,no_target/images (11).jpg,train,1,0
no_target,no_target/pic_009.jpg,train,1,0
no_target,no_target/OIP-3xwfiORt6Gr-1xKOd8CInwHaFD.jpeg,train,1,0
no_target,no_target/pic_229 (1).jpg,train,1,0
no_target,no_target/pic_354.jpg,train,1,0
no_target,no_target/20200629_Industrious_Wythe Hotel_184.jpg,train,1,0
no_target,no_target/pic_036 (1).jpg,train,1,0
no_target,no_target/pic_072.jpg,train,1,0
no_target,no_target/156.jpeg,train,1,0
no_target,no_target/pic_117 (1).jpg,train,1,0
no_target,no_target/A-Tired-Bunny-in-the-Middle-of-the-Road_1.jpg,train,1,0
no_target,no_target/pic_078 (1).jpg,train,1,0
no_target,no_target/178.jpeg,train,1,0
no_target,no_target/pic_279.jpg,train,1,0
no_target,no_target/pic_319.jpg,train,1,0
no_target,no_target/pic_008 (1).jpg,train,1,0
no_target,no_target/pic_156.jpg,train,1,0
no_target,no_target/ea34b40a21fd013ed1584d05fb1d4e9fe777ead218ac104497f5c97faeebb5bb_640.jpg,train,1,0
no_target,no_target/pic_217.jpg,train,1,0
no_target,no_target/pic_326 (1).jpg,train,1,0
